Round,Pick,Team,Player,Position,College/Univ
4,126,DET,Giovanni Manu,OL,British Columbia
4,127,PHI,Will Shipley,RB,Clemson
4,128,BUF,Ray Davis,RB,Kentucky
4,129,SFO,Isaac Guerendo,RB,Louisville
4,130,BAL,T.J. Tampa,DB,Iowa St.
4,131,KAN,Jared Wiley,TE,TCU
4,132,DET,Sione Vaki,SAF,Utah
4,133,KAN,Jaden Hicks,DB,Washington St.
4,134,NYJ,Braelon Allen,RB,Wisconsin
4,135,SFO,Jacob Cowing,WR,Arizona
5,136,SEA,Nehemiah Pritchett,CB,Auburn
5,137,LAC,Tarheeb Still,DB,Maryland
5,138,ARI,Xavier Thomas,DE,Clemson
5,139,WAS,Jordan Magee,LB,Temple
5,140,LAC,Cam Hart,CB,Notre Dame
5,141,BUF,Sedrick Van Pran-Granger,OL,Georgia
5,142,IND,Anthony Gould,WR,Oregon St.
5,143,ATL,JD Bertrand,LB,Notre Dame
5,144,CHI,Austin Booker,DL,Kansas
5,145,DEN,Kris Abrams-Draine,DB,Missouri
5,146,TEN,Jarvis Brownlee,DB,Louisville
5,147,DEN,Audric Estime,RB,Notre Dame
5,148,LVR,Tommy Eichenberg,LB,Ohio St.
5,149,CIN,Josh Newton,CB,TCU
5,150,NOR,Spencer Rattler,QB,South Carolina
5,151,IND,Jaylon Carlies,DB,Missouri
5,152,PHI,Ainias Smith,WR,Texas A&M
5,153,JAX,Deantre Prince,CB,Mississippi
5,154,LAR,Brennan Jackson,DE,Washington St.
5,155,PHI,Jeremiah Trotter Jr.,LB,Clemson
5,156,CLE,Jamari Thrash,WR,Louisville
5,157,CAR,Chau Smith-Wade,DB,Washington St.
5,158,MIA,Mohamed Kamara,DL,Colorado St.
5,159,KAN,Hunter Nourzad,OL,Penn St.
5,160,BUF,Edefuan Ulofoshio,LB,Washington
5,161,WAS,Dominique Hampton,CB,Washington
5,162,ARI,Christian Jones,OL,Texas
5,163,GNB,Jacob Monk,OL,Duke
5,164,IND,Jaylin Simpson,SAF,Auburn
5,165,BAL,Rasheen Ali,RB,Marshall
5,166,NYG,Tyrone Tracy Jr.,RB,Purdue
5,167,JAX,Keilan Robinson,RB,Texas
5,168,BUF,Javon Solomon,DE,Troy
5,169,GNB,Kitan Oladapo,DB,Oregon St.
5,170,NOR,Bub Means,WR,Pittsburgh
